state_bucket,bin_index,score_min,score_max,mean_score,sample_count,event_rate,event_rate_monotonic
__all__,0,0.0,0.4067575571166742,0.07362918362473367,5287,0.4295441649328542,0.4621642073401438
__all__,1,0.40677604278098783,1.3453199801240834,0.8883786759488127,5286,0.4617858494135452,0.4621642073401438
__all__,2,1.345403902318683,2.4706888787380192,1.8625236885855567,5286,0.4621642073401438,0.4621642073401438
__all__,3,2.4709998147286427,4.847068597478778,3.45971915462499,5286,0.4067347710934544,0.4067347710934544
__all__,4,4.847860496734631,12.18776141567647,7.928786203569729,5286,0.25217555807794173,0.25217555807794173
__all__,5,12.192230307559036,55.36524837454281,20.55233846442251,5287,0.19633062228106676,0.19633062228106676
bearish,0,0.0,0.6454770919138875,0.13866537267595389,377,0.3687002652519894,0.38563829787234044
bearish,1,0.6485371867067079,2.0632412163424867,1.3481796177154208,376,0.38563829787234044,0.38563829787234044
bearish,2,2.073328771817613,4.112481898221164,2.994123230442134,376,0.3271276595744681,0.3271276595744681
bearish,3,4.118773197776636,9.93236867711946,6.425884319198788,376,0.24468085106382978,0.2526595744680851
bearish,4,9.949421701252232,17.364412026521762,13.590970322294076,376,0.2526595744680851,0.2526595744680851
bearish,5,17.410195283935003,54.792613183661366,28.295270675075198,377,0.03713527851458886,0.03713527851458886
bullish,0,0.0,2.628982121762485,1.1556881532557222,978,0.2883435582822086,0.2883435582822086
bullish,1,2.630907383038133,5.372414387487456,3.963896566686664,979,0.2604698672114402,0.2604698672114402
bullish,2,5.373775173504434,8.769943825653653,7.072940547946836,978,0.1359918200408998,0.1359918200408998
bullish,3,8.771451264219495,14.63899996973449,11.575197574345175,977,0.12077789150460594,0.12077789150460594
bullish,4,14.640006910642914,23.29097215893716,18.391626109278125,979,0.06741573033707865,0.06741573033707865
bullish,5,23.309083380541033,55.36524837454281,33.434900449725966,978,0.05623721881390593,0.05623721881390593
sideways,0,0.0,0.22708100663393907,0.026614479747100586,3932,0.44125127161749744,0.4862665310274669
sideways,1,0.22718771091882387,1.0455952753275124,0.6522324124794462,3932,0.470498474059003,0.4862665310274669
sideways,2,1.0457237224956961,1.8337150118520729,1.4251966887509728,3932,0.4862665310274669,0.4862665310274669
sideways,3,1.834020339480751,3.1103341183442152,2.3997280094480704,3931,0.47138132790638515,0.47138132790638515
sideways,4,3.1107838784722115,7.424568902695542,4.668647044596111,3932,0.38072227873855546,0.38072227873855546
sideways,5,7.429992941494692,48.77869970354215,13.709627794265574,3932,0.3336724313326551,0.3336724313326551
